Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,956.00,962.50,950.10,955.00,952.50,951.85,956.51,"1,065.60",557.8,"69,08,988","6,60,85,39,093.40","1,82,508"
25-Jun-2024,EQ,960.00,962.85,949.30,958.05,955.50,955.00,954.60,"1,065.60",557.8,"73,04,128","6,97,25,50,149.55","2,15,159"
24-Jun-2024,EQ,960.90,963.50,950.05,961.80,959.00,958.05,957.97,"1,065.60",557.8,"66,55,577","6,37,58,11,978.75","1,82,820"
21-Jun-2024,EQ,979.00,980.90,958.10,978.25,960.00,961.80,966.40,"1,065.60",557.7,"1,43,03,735","13,82,31,76,478.20","3,86,477"
20-Jun-2024,EQ,980.00,988.40,976.35,977.35,979.10,978.25,981.43,"1,065.60",557.7,"72,99,571","7,16,40,54,388.95","1,75,319"
19-Jun-2024,EQ,990.00,994.90,975.15,985.90,977.50,977.35,983.31,"1,065.60",557.7,"76,05,719","7,47,87,62,920.90","1,82,319"
18-Jun-2024,EQ,"1,000.00","1,003.55",984.00,993.40,986.50,985.90,992.19,"1,065.60",557.7,"98,45,075","9,76,81,98,778.40","2,84,505"
14-Jun-2024,EQ,990.00,997.25,981.40,985.85,992.00,993.40,990.22,"1,065.60",557.7,"1,15,91,421","11,47,80,53,630.05","3,09,906"
13-Jun-2024,EQ,"1,002.00","1,002.00",980.75,988.70,985.80,985.85,988.60,"1,065.60",557.7,"1,21,57,226","12,01,86,56,079.65","2,95,633"
12-Jun-2024,EQ,994.50,"1,010.25",987.00,987.10,989.20,988.70,996.34,"1,065.60",557.7,"1,75,27,993","17,46,38,64,630.25","4,30,324"
11-Jun-2024,EQ,973.80,992.55,966.65,975.15,986.15,987.10,984.93,"1,065.60",557.7,"1,48,28,702","14,60,53,01,145.30","4,00,232"
10-Jun-2024,EQ,977.00,984.90,969.10,970.50,974.80,975.15,976.04,"1,065.60",557.7,"92,58,931","9,03,71,31,825.15","2,02,911"
07-Jun-2024,EQ,940.00,973.00,935.25,938.25,970.00,970.50,959.91,"1,065.60",537.9,"1,55,77,866","14,95,32,76,886.75","3,19,681"
06-Jun-2024,EQ,940.00,946.00,931.20,929.95,939.50,938.25,939.29,"1,065.60",537.9,"1,17,92,640","11,07,67,24,156.05","3,58,066"
05-Jun-2024,EQ,924.95,933.75,890.00,903.90,928.00,929.95,917.55,"1,065.60",537.9,"1,37,52,553","12,61,87,06,601.05","3,47,081"
04-Jun-2024,EQ,948.00,948.00,855.40,950.45,904.95,903.90,903.72,"1,065.60",537.9,"2,65,54,598","23,99,79,86,160.70","8,13,215"
