Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"3,169.05","3,187.70","3,163.90","3,171.10","3,169.00","3,170.50","3,174.21","3,743.90","2,142.00","21,42,889","6,80,19,83,095.80","58,917"
25-Jun-2024,EQ,"3,204.75","3,208.45","3,156.35","3,194.60","3,169.05","3,171.10","3,175.93","3,743.90","2,142.00","16,94,962","5,38,30,86,693.10","58,570"
24-Jun-2024,EQ,"3,185.75","3,214.80","3,135.00","3,189.30","3,193.95","3,194.60","3,191.57","3,743.90","2,142.00","32,61,647","10,40,97,68,963.35","1,07,805"
21-Jun-2024,EQ,"3,265.05","3,277.10","3,176.40","3,259.45","3,192.80","3,189.30","3,205.27","3,743.90","2,142.00","46,97,655","15,05,72,60,547.20","1,60,462"
20-Jun-2024,EQ,"3,263.90","3,315.00","3,240.00","3,261.90","3,261.95","3,259.45","3,279.03","3,743.90","2,142.00","13,66,545","4,48,09,42,189.50","97,561"
19-Jun-2024,EQ,"3,314.00","3,314.00","3,226.30","3,309.05","3,264.25","3,261.90","3,259.86","3,743.90","2,142.00","14,19,264","4,62,65,99,834.50","84,944"
18-Jun-2024,EQ,"3,310.00","3,345.00","3,287.20","3,261.75","3,310.95","3,309.05","3,311.54","3,743.90","2,142.00","17,55,612","5,81,37,79,346.75","1,07,419"
14-Jun-2024,EQ,"3,225.00","3,275.00","3,221.10","3,224.80","3,269.00","3,261.75","3,252.79","3,743.90","2,142.00","42,24,855","13,74,25,75,345.95","98,091"
13-Jun-2024,EQ,"3,230.00","3,254.00","3,207.25","3,219.05","3,222.25","3,224.80","3,221.11","3,743.90","2,142.00","32,02,978","10,31,71,33,491.70","96,083"
12-Jun-2024,EQ,"3,224.90","3,245.00","3,208.00","3,221.25","3,209.00","3,219.05","3,226.61","3,743.90","2,142.00","30,22,477","9,75,23,55,044.00","74,328"
11-Jun-2024,EQ,"3,224.00","3,265.00","3,195.05","3,220.10","3,215.00","3,221.25","3,235.16","3,743.90","2,142.00","41,73,692","13,50,25,65,941.05","1,21,200"
10-Jun-2024,EQ,"3,267.00","3,284.40","3,205.50","3,219.55","3,212.30","3,220.10","3,247.80","3,743.90","2,142.00","49,35,698","16,03,01,74,654.60","1,52,562"
07-Jun-2024,EQ,"3,170.40","3,233.75","3,151.60","3,185.65","3,222.50","3,219.55","3,207.35","3,743.90","2,142.00","47,40,455","15,20,43,07,672.25","1,46,457"
06-Jun-2024,EQ,"3,184.00","3,222.40","3,137.15","3,115.35","3,181.60","3,185.65","3,186.26","3,743.90","2,142.00","58,73,271","18,71,37,84,941.80","2,78,600"
05-Jun-2024,EQ,"3,030.00","3,150.00","2,750.00","2,941.25","3,093.00","3,115.35","2,958.33","3,743.90","2,142.00","87,78,345","25,96,92,15,655.60","6,12,958"
04-Jun-2024,EQ,"3,520.00","3,520.00","2,733.95","3,645.25","2,950.00","2,941.25","3,136.46","3,743.90","2,142.00","2,03,06,909","63,69,18,14,268.95","8,48,267"
03-Jun-2024,EQ,"3,725.00","3,743.90","3,586.05","3,411.35","3,660.10","3,645.25","3,659.12","3,743.90","2,142.00","85,11,359","31,14,40,98,467.80","4,14,787"
31-May-2024,EQ,"3,225.25","3,434.45","3,225.25","3,194.25","3,416.00","3,411.35","3,359.45","3,457.85","2,142.00","63,84,589","21,44,86,93,814.45","2,90,001"
30-May-2024,EQ,"3,254.00","3,274.30","3,174.50","3,258.80","3,209.90","3,194.25","3,219.99","3,457.85","2,142.00","19,90,208","6,40,84,54,413.45","1,12,565"
29-May-2024,EQ,"3,250.00","3,322.90","3,212.00","3,244.05","3,255.00","3,258.80","3,270.30","3,457.85","2,142.00","19,10,729","6,24,86,51,475.65","98,310"
28-May-2024,EQ,"3,309.65","3,329.50","3,229.05","3,289.05","3,239.00","3,244.05","3,282.72","3,457.85","2,142.00","16,21,168","5,32,18,41,029.35","95,508"
27-May-2024,EQ,"3,358.00","3,358.00","3,267.05","3,384.95","3,295.05","3,289.05","3,307.40","3,457.85","2,142.00","25,82,485","8,54,13,06,058.00","1,40,021"
24-May-2024,EQ,"3,406.00","3,457.85","3,355.60","3,387.30","3,381.00","3,384.95","3,409.34","3,457.85","1,983.40","34,73,668","11,84,29,11,664.85","1,79,402"
23-May-2024,EQ,"3,156.70","3,406.00","3,135.55","3,140.95","3,398.20","3,387.30","3,302.83","3,406.00","1,983.40","69,79,082","23,05,07,29,208.95","3,27,015"
22-May-2024,EQ,"3,129.95","3,145.00","3,073.50","3,117.50","3,137.00","3,140.95","3,121.08","3,350.00","1,983.40","33,71,077","10,52,14,07,989.95","95,242"
21-May-2024,EQ,"3,067.90","3,175.00","3,034.50","3,059.75","3,110.00","3,117.50","3,123.72","3,350.00","1,983.40","30,91,659","9,65,74,85,170.60","1,35,865"
18-May-2024,EQ,"3,074.00","3,074.00","3,055.00","3,060.50","3,061.00","3,059.75","3,064.28","3,350.00","1,857.75","74,336","22,77,86,473.25","5,248"
17-May-2024,EQ,"3,041.05","3,091.00","3,015.50","3,041.65","3,057.00","3,060.50","3,053.08","3,350.00","1,857.75","8,25,436","2,52,01,25,368.65","74,283"
16-May-2024,EQ,"3,065.00","3,076.95","2,974.95","3,049.75","3,034.05","3,041.65","3,022.05","3,350.00","1,857.75","18,35,312","5,54,63,98,277.35","1,44,012"
15-May-2024,EQ,"3,046.75","3,118.85","3,037.60","3,037.55","3,047.00","3,049.75","3,074.65","3,350.00","1,857.75","16,88,836","5,19,25,83,624.45","93,983"
14-May-2024,EQ,"2,894.95","3,046.00","2,874.55","2,879.60","3,035.00","3,037.55","2,995.85","3,350.00","1,857.75","57,25,807","17,15,36,65,502.90","1,96,967"
13-May-2024,EQ,"2,803.00","2,890.00","2,790.50","2,797.25","2,888.85","2,879.60","2,839.27","3,350.00","1,857.75","37,84,373","10,74,48,38,041.40","1,15,926"
10-May-2024,EQ,"2,794.95","2,809.00","2,760.45","2,766.65","2,803.90","2,797.25","2,791.48","3,350.00","1,857.75","23,54,794","6,57,33,68,242.40","79,999"
09-May-2024,EQ,"2,864.80","2,883.65","2,756.00","2,860.55","2,765.00","2,766.65","2,814.22","3,350.00","1,857.75","14,85,510","4,18,05,48,928.95","1,16,557"
08-May-2024,EQ,"2,850.00","2,890.90","2,820.00","2,835.95","2,862.00","2,860.55","2,860.65","3,350.00","1,857.75","9,51,411","2,72,16,50,623.40","57,225"
07-May-2024,EQ,"2,889.95","2,905.35","2,822.00","2,874.65","2,839.00","2,835.95","2,857.91","3,350.00","1,857.75","12,62,311","3,60,75,75,910.50","73,865"
06-May-2024,EQ,"2,993.25","3,000.20","2,850.00","2,993.25","2,872.00","2,874.65","2,890.39","3,350.00","1,857.75","23,77,944","6,87,31,81,126.10","1,26,554"
03-May-2024,EQ,"3,030.00","3,045.00","2,975.10","3,039.60","2,990.00","2,993.25","3,007.11","3,350.00","1,785.35","14,72,168","4,42,69,76,478.70","93,663"
02-May-2024,EQ,"3,071.95","3,119.85","3,015.05","3,054.70","3,029.00","3,039.60","3,065.29","3,350.00","1,785.35","22,19,085","6,80,21,49,701.55","1,69,345"
30-Apr-2024,EQ,"3,094.00","3,108.45","3,045.00","3,081.20","3,052.50","3,054.70","3,074.15","3,350.00","1,785.35","8,04,552","2,47,33,12,213.75","50,263"
29-Apr-2024,EQ,"3,110.00","3,110.50","3,051.50","3,080.40","3,080.00","3,081.20","3,079.00","3,350.00","1,785.35","6,48,544","1,99,68,68,646.30","51,392"
26-Apr-2024,EQ,"3,119.90","3,129.90","3,066.05","3,115.25","3,089.00","3,080.40","3,090.20","3,350.00","1,775.80","6,62,764","2,04,80,70,862.50","51,695"
25-Apr-2024,EQ,"3,050.00","3,120.90","3,025.65","3,043.55","3,115.00","3,115.25","3,078.50","3,350.00","1,775.80","15,15,529","4,66,55,50,155.30","1,03,832"
24-Apr-2024,EQ,"3,071.95","3,087.85","3,040.00","3,065.10","3,042.90","3,043.55","3,066.42","3,350.00","1,775.80","6,05,917","1,85,79,95,179.50","36,665"
23-Apr-2024,EQ,"3,059.00","3,091.00","3,043.10","3,063.35","3,058.00","3,065.10","3,066.74","3,350.00","1,775.80","16,54,272","5,07,32,27,670.15","61,219"
22-Apr-2024,EQ,"3,053.00","3,077.50","3,025.00","3,026.95","3,072.25","3,063.35","3,050.24","3,350.00","1,775.80","9,93,929","3,03,17,26,638.60","51,253"
19-Apr-2024,EQ,"3,000.00","3,057.05","2,962.50","3,019.30","3,032.00","3,026.95","3,020.56","3,350.00","1,775.80","17,27,317","5,21,74,64,090.25","91,721"
18-Apr-2024,EQ,"3,125.15","3,145.00","3,008.30","3,106.40","3,035.00","3,019.30","3,095.25","3,350.00","1,775.80","17,03,646","5,27,32,14,333.20","1,06,820"
16-Apr-2024,EQ,"3,101.00","3,149.20","3,100.00","3,147.45","3,108.00","3,106.40","3,119.45","3,350.00","1,775.80","11,34,184","3,53,80,30,814.20","48,602"
15-Apr-2024,EQ,"3,150.00","3,180.30","3,103.20","3,209.90","3,149.95","3,147.45","3,143.46","3,350.00","1,775.80","10,35,378","3,25,46,71,241.05","73,457"
12-Apr-2024,EQ,"3,210.00","3,247.50","3,205.30","3,242.00","3,215.00","3,209.90","3,221.01","3,350.00","1,760.60","7,05,173","2,27,13,68,817.95","40,387"
10-Apr-2024,EQ,"3,200.00","3,254.60","3,192.50","3,198.45","3,245.00","3,242.00","3,231.43","3,350.00","1,760.60","14,41,138","4,65,69,32,148.25","55,670"
09-Apr-2024,EQ,"3,240.70","3,251.00","3,185.00","3,224.55","3,202.60","3,198.45","3,214.28","3,350.00","1,760.60","8,33,679","2,67,96,74,649.95","38,430"
08-Apr-2024,EQ,"3,240.95","3,243.50","3,197.20","3,224.80","3,236.00","3,224.55","3,216.90","3,350.00","1,760.60","5,77,440","1,85,75,68,319.50","37,073"
05-Apr-2024,EQ,"3,211.10","3,234.00","3,178.95","3,210.80","3,217.90","3,224.80","3,215.34","3,350.00","1,671.55","7,55,607","2,42,95,32,121.50","37,497"
04-Apr-2024,EQ,"3,250.00","3,273.00","3,201.70","3,233.45","3,220.00","3,210.80","3,234.57","3,350.00","1,671.55","14,03,826","4,54,07,71,025.65","99,323"
03-Apr-2024,EQ,"3,250.00","3,260.15","3,222.00","3,268.75","3,238.00","3,233.45","3,238.76","3,350.00","1,671.55","11,53,109","3,73,46,40,011.85","55,622"
02-Apr-2024,EQ,"3,258.95","3,285.00","3,240.00","3,252.10","3,267.35","3,268.75","3,259.76","3,350.00","1,671.55","8,68,829","2,83,21,69,851.80","55,071"
01-Apr-2024,EQ,"3,230.20","3,291.80","3,207.85","3,197.10","3,255.20","3,252.10","3,247.41","3,350.00","1,671.55","12,92,646","4,19,77,48,362.70","71,000"
28-Mar-2024,EQ,"3,134.00","3,237.00","3,096.75","3,122.10","3,197.00","3,197.10","3,178.72","3,350.00","1,573.00","23,27,053","7,39,70,54,019.95","1,41,506"
27-Mar-2024,EQ,"3,115.00","3,138.45","3,106.25","3,109.95","3,124.25","3,122.10","3,122.82","3,350.00","1,573.00","9,00,231","2,81,12,59,467.70","66,957"
26-Mar-2024,EQ,"3,100.50","3,171.95","3,089.10","3,107.70","3,112.00","3,109.95","3,130.27","3,350.00","1,573.00","9,37,103","2,93,33,89,321.75","66,405"
22-Mar-2024,EQ,"3,066.55","3,128.95","3,048.05","3,066.50","3,103.00","3,107.70","3,095.08","3,350.00","1,573.00","9,51,557","2,94,51,44,032.25","63,264"
21-Mar-2024,EQ,"3,089.55","3,107.10","3,059.60","3,051.45","3,071.65","3,066.50","3,080.51","3,350.00","1,573.00","11,75,751","3,62,19,07,779.40","67,248"
20-Mar-2024,EQ,"3,075.00","3,083.20","3,021.10","3,052.70","3,050.10","3,051.45","3,046.55","3,350.00","1,573.00","9,66,481","2,94,44,32,546.60","64,232"
19-Mar-2024,EQ,"3,126.00","3,164.80","3,041.85","3,111.75","3,055.90","3,052.70","3,093.78","3,350.00","1,573.00","14,60,452","4,51,83,20,848.55","92,875"
18-Mar-2024,EQ,"3,050.10","3,124.00","2,976.05","3,132.20","3,110.00","3,111.75","3,053.40","3,350.00","1,573.00","30,42,515","9,29,00,11,236.80","1,59,589"
15-Mar-2024,EQ,"3,111.00","3,143.40","3,061.25","3,087.45","3,125.00","3,132.20","3,108.38","3,350.00","1,573.00","21,99,094","6,83,56,27,396.35","1,20,251"
14-Mar-2024,EQ,"2,927.45","3,101.20","2,880.00","2,906.20","3,085.00","3,087.45","3,033.64","3,350.00","1,573.00","37,59,100","11,40,37,63,726.10","2,46,625"
13-Mar-2024,EQ,"3,125.00","3,138.05","2,850.15","3,122.50","2,909.80","2,906.20","2,950.44","3,350.00","1,573.00","34,07,040","10,05,22,56,475.10","2,37,808"
12-Mar-2024,EQ,"3,207.35","3,222.70","3,111.00","3,207.35","3,122.90","3,122.50","3,156.27","3,350.00","1,573.00","11,99,487","3,78,59,08,989.05","86,164"
11-Mar-2024,EQ,"3,241.20","3,259.00","3,200.00","3,226.55","3,210.00","3,207.35","3,229.54","3,350.00","1,573.00","7,38,851","2,38,61,51,544.55","48,887"
07-Mar-2024,EQ,"3,240.00","3,262.00","3,220.00","3,233.95","3,229.00","3,226.55","3,240.29","3,350.00","1,573.00","8,56,328","2,77,47,47,690.85","52,628"
06-Mar-2024,EQ,"3,323.00","3,323.00","3,183.15","3,310.20","3,238.00","3,233.95","3,226.77","3,350.00","1,573.00","19,35,203","6,24,44,61,431.90","1,11,432"
05-Mar-2024,EQ,"3,325.30","3,334.00","3,295.05","3,317.15","3,328.00","3,310.20","3,314.16","3,350.00","1,573.00","11,90,416","3,94,52,24,169.30","68,687"
04-Mar-2024,EQ,"3,335.00","3,350.00","3,310.05","3,333.25","3,320.95","3,317.15","3,325.35","3,350.00","1,573.00","10,61,244","3,52,90,12,588.20","59,907"
02-Mar-2024,EQ,"3,332.00","3,348.70","3,321.50","3,318.75","3,332.50","3,333.25","3,333.12","3,348.70","1,103.75","1,19,511","39,83,43,988.75","9,160"
01-Mar-2024,EQ,"3,309.85","3,346.00","3,281.80","3,285.40","3,321.50","3,318.75","3,314.26","3,346.00","1,103.75","11,61,067","3,84,80,76,358.25","64,364"
29-Feb-2024,EQ,"3,220.05","3,304.75","3,205.35","3,219.00","3,299.90","3,285.40","3,260.07","3,344.00","1,103.75","13,52,988","4,41,08,31,106.00","95,429"
28-Feb-2024,EQ,"3,309.20","3,318.80","3,207.50","3,302.30","3,218.90","3,219.00","3,252.19","3,344.00","1,103.75","13,58,879","4,41,93,38,030.60","98,070"
27-Feb-2024,EQ,"3,339.00","3,340.00","3,273.00","3,327.75","3,296.00","3,302.30","3,306.04","3,344.00","1,103.75","11,25,570","3,72,11,77,336.10","65,439"
26-Feb-2024,EQ,"3,272.00","3,344.00","3,263.00","3,273.30","3,328.00","3,327.75","3,318.26","3,344.00","1,103.75","16,95,378","5,62,57,07,089.65","1,04,868"
23-Feb-2024,EQ,"3,263.05","3,319.95","3,225.10","3,263.05","3,273.05","3,273.30","3,281.89","3,319.95","1,103.75","19,75,035","6,48,18,55,202.20","84,335"
22-Feb-2024,EQ,"3,239.00","3,274.00","3,210.50","3,223.20","3,261.30","3,263.05","3,236.68","3,308.60","1,103.75","11,38,722","3,68,56,76,235.05","88,963"
21-Feb-2024,EQ,"3,238.00","3,300.00","3,205.00","3,228.60","3,226.95","3,223.20","3,258.00","3,308.60","1,103.75","16,57,021","5,39,85,71,886.00","1,05,900"
20-Feb-2024,EQ,"3,267.00","3,269.80","3,210.15","3,258.80","3,235.00","3,228.60","3,238.23","3,308.60","1,103.75","14,67,630","4,75,25,17,820.15","61,717"
19-Feb-2024,EQ,"3,240.00","3,308.60","3,235.80","3,223.60","3,265.00","3,258.80","3,275.82","3,308.60","1,103.75","17,79,444","5,82,91,41,012.10","87,952"
16-Feb-2024,EQ,"3,214.00","3,252.30","3,192.65","3,193.80","3,223.20","3,223.60","3,221.58","3,277.95","1,103.75","21,93,673","7,06,71,00,536.90","84,990"
15-Feb-2024,EQ,"3,219.85","3,252.75","3,184.05","3,207.20","3,190.40","3,193.80","3,214.66","3,277.95","1,103.75","20,35,204","6,54,24,84,814.65","90,530"
14-Feb-2024,EQ,"3,184.00","3,255.25","3,169.85","3,178.45","3,202.00","3,207.20","3,212.71","3,277.95","1,103.75","17,41,264","5,59,41,82,379.70","1,01,676"
13-Feb-2024,EQ,"3,180.00","3,194.00","3,092.05","3,169.75","3,180.00","3,178.45","3,142.91","3,277.95","1,103.75","12,25,207","3,85,07,09,760.90","73,578"
12-Feb-2024,EQ,"3,229.00","3,241.95","3,160.00","3,215.20","3,166.00","3,169.75","3,193.32","3,277.95","1,103.75","10,83,138","3,45,88,03,688.00","64,420"
09-Feb-2024,EQ,"3,184.45","3,224.95","3,121.20","3,168.60","3,215.00","3,215.20","3,182.28","3,277.95","1,103.75","15,72,789","5,00,50,53,690.50","92,034"
08-Feb-2024,EQ,"3,245.60","3,245.60","3,146.10","3,229.85","3,179.00","3,168.60","3,186.56","3,277.95","1,103.75","16,79,004","5,35,02,39,514.35","1,26,898"
07-Feb-2024,EQ,"3,220.05","3,277.95","3,210.00","3,203.75","3,233.00","3,229.85","3,242.51","3,277.95","1,103.75","20,95,911","6,79,60,02,063.65","1,22,378"
06-Feb-2024,EQ,"3,183.90","3,228.20","3,160.00","3,173.45","3,200.65","3,203.75","3,197.81","3,236.95","1,103.75","20,78,891","6,64,79,05,451.95","1,48,672"
05-Feb-2024,EQ,"3,170.00","3,229.40","3,151.45","3,157.45","3,175.25","3,173.45","3,192.80","3,236.95","1,103.75","21,91,195","6,99,60,49,793.70","1,32,489"
02-Feb-2024,EQ,"3,184.95","3,208.50","3,140.00","3,153.50","3,157.00","3,157.45","3,173.20","3,236.95","1,017.45","27,08,695","8,59,52,21,638.95","1,23,968"
01-Feb-2024,EQ,"3,156.90","3,236.95","3,083.05","3,142.00","3,154.85","3,153.50","3,162.65","3,236.95","1,017.45","46,86,595","14,82,20,76,397.20","2,11,723"
31-Jan-2024,EQ,"3,092.75","3,151.70","3,072.40","3,091.10","3,138.00","3,142.00","3,116.94","3,199.00","1,017.45","26,71,051","8,32,55,10,841.40","1,15,716"
30-Jan-2024,EQ,"3,081.00","3,129.90","3,020.90","3,064.65","3,096.00","3,091.10","3,090.43","3,199.00","1,017.45","31,15,506","9,62,82,39,019.20","1,52,019"
29-Jan-2024,EQ,"2,929.00","3,092.70","2,923.05","2,893.60","3,061.00","3,064.65","3,044.27","3,199.00","1,017.45","44,02,976","13,40,38,37,889.00","2,76,784"
25-Jan-2024,EQ,"2,903.45","2,926.35","2,804.40","2,903.45","2,903.00","2,893.60","2,860.14","3,508.00","1,017.45","26,01,969","7,44,19,88,265.30","1,35,262"
24-Jan-2024,EQ,"2,901.00","2,929.10","2,871.25","2,896.55","2,908.00","2,903.45","2,891.63","3,508.00","1,017.45","58,07,940","16,79,44,41,913.65","1,60,772"
23-Jan-2024,EQ,"3,014.95","3,014.95","2,885.50","2,987.90","2,900.35","2,896.55","2,945.88","3,508.00","1,017.45","18,27,002","5,38,21,24,760.65","1,01,673"
20-Jan-2024,EQ,"2,930.00","3,015.85","2,890.50","2,915.65","2,987.85","2,987.90","2,939.51","3,739.95","1,017.45","18,78,793","5,52,27,30,668.25","83,748"
19-Jan-2024,EQ,"2,945.35","2,949.45","2,903.05","2,918.90","2,915.30","2,915.65","2,926.36","3,739.95","1,017.45","20,14,096","5,89,39,78,244.30","88,297"
18-Jan-2024,EQ,"2,975.55","2,985.00","2,885.10","2,971.05","2,925.05","2,918.90","2,923.25","3,739.95","1,017.45","25,52,342","7,46,11,40,978.65","1,37,932"
17-Jan-2024,EQ,"3,033.00","3,045.00","2,946.30","3,056.50","2,978.00","2,971.05","2,994.68","3,739.95","1,017.45","28,97,218","8,67,62,48,061.65","1,16,205"
16-Jan-2024,EQ,"3,095.00","3,104.50","3,035.00","3,089.50","3,059.00","3,056.50","3,066.60","3,739.95","1,017.45","25,15,564","7,71,42,32,714.00","81,017"
15-Jan-2024,EQ,"3,127.00","3,130.00","3,067.45","3,104.10","3,091.30","3,089.50","3,095.46","3,739.95","1,017.45","14,07,007","4,35,53,39,346.30","66,077"
12-Jan-2024,EQ,"3,096.35","3,125.00","3,068.20","3,080.90","3,105.40","3,104.10","3,100.07","3,880.00","1,017.45","17,95,933","5,56,75,09,144.40","81,003"
11-Jan-2024,EQ,"3,120.00","3,129.00","3,065.00","3,098.20","3,084.00","3,080.90","3,089.22","3,880.00","1,017.45","20,08,103","6,20,34,81,301.70","82,014"
10-Jan-2024,EQ,"3,024.00","3,112.00","3,020.05","3,014.60","3,107.80","3,098.20","3,077.75","3,880.00","1,017.45","35,90,297","11,05,00,48,556.25","1,46,816"
09-Jan-2024,EQ,"2,990.70","3,068.80","2,980.00","2,963.50","3,024.95","3,014.60","3,029.63","3,880.00","1,017.45","28,85,706","8,74,26,14,470.70","1,24,090"
08-Jan-2024,EQ,"3,020.00","3,027.00","2,952.95","3,006.60","2,965.00","2,963.50","2,990.76","3,880.00","1,017.45","18,49,061","5,53,01,00,075.95","77,114"
05-Jan-2024,EQ,"3,009.95","3,066.90","2,981.10","2,998.30","3,009.00","3,006.60","3,026.08","3,880.00","1,017.45","32,19,949","9,74,38,25,898.60","1,25,926"
04-Jan-2024,EQ,"3,039.40","3,044.45","2,990.00","3,003.00","2,996.00","2,998.30","3,011.56","3,880.00","1,017.45","29,75,620","8,96,12,46,158.70","1,22,929"
03-Jan-2024,EQ,"3,047.00","3,199.00","2,955.60","2,932.40","3,005.00","3,003.00","3,060.56","3,880.00","1,017.45","1,97,25,411","60,37,08,40,646.55","7,62,896"
02-Jan-2024,EQ,"2,922.00","2,948.20","2,841.00","2,917.20","2,931.00","2,932.40","2,903.97","3,880.00","1,017.45","26,71,368","7,75,75,72,526.85","1,16,025"
01-Jan-2024,EQ,"2,852.30","2,947.00","2,842.05","2,848.95","2,902.85","2,917.20","2,914.54","3,880.00","1,017.45","28,98,619","8,44,81,46,788.55","1,16,403"
29-Dec-2023,EQ,"2,823.90","2,863.30","2,802.85","2,809.90","2,849.05","2,848.95","2,838.38","3,898.00","1,017.45","15,07,086","4,27,76,89,534.20","65,085"
28-Dec-2023,EQ,"2,855.00","2,867.35","2,800.10","2,843.35","2,816.90","2,809.90","2,818.51","3,898.00","1,017.45","41,02,912","11,56,40,85,525.15","1,08,070"
27-Dec-2023,EQ,"2,880.70","2,894.80","2,833.60","2,865.45","2,846.00","2,843.35","2,854.23","3,898.00","1,017.45","16,98,325","4,84,74,07,216.00","96,864"
26-Dec-2023,EQ,"2,817.00","2,893.75","2,800.10","2,808.35","2,877.05","2,865.45","2,859.55","3,898.00","1,017.45","20,48,484","5,85,77,41,774.50","1,24,764"
22-Dec-2023,EQ,"2,815.95","2,847.60","2,791.40","2,799.75","2,806.00","2,808.35","2,819.62","4,190.00","1,017.45","15,13,956","4,26,87,77,915.65","76,777"
21-Dec-2023,EQ,"2,750.00","2,821.95","2,725.00","2,783.85","2,812.90","2,799.75","2,788.43","4,190.00","1,017.45","26,78,577","7,46,90,27,877.10","1,39,231"
20-Dec-2023,EQ,"2,946.00","2,968.00","2,766.20","2,941.25","2,775.00","2,783.85","2,870.07","4,190.00","1,017.45","34,17,739","9,80,91,37,609.45","1,71,337"
19-Dec-2023,EQ,"2,988.80","2,994.35","2,915.00","2,980.60","2,940.00","2,941.25","2,950.36","4,190.00","1,017.45","17,41,493","5,13,80,37,764.30","81,742"
18-Dec-2023,EQ,"2,993.95","3,027.75","2,961.10","2,991.80","2,974.00","2,980.60","2,993.07","4,190.00","1,017.45","23,15,922","6,93,17,28,099.20","1,00,133"
15-Dec-2023,EQ,"2,912.05","3,000.00","2,893.90","2,894.05","2,987.00","2,991.80","2,962.62","4,190.00","1,017.45","49,21,484","14,58,04,86,604.40","1,80,486"
14-Dec-2023,EQ,"2,900.95","2,932.95","2,887.00","2,875.05","2,893.00","2,894.05","2,908.68","4,190.00","1,017.45","32,24,681","9,37,95,61,819.45","1,40,194"
13-Dec-2023,EQ,"2,860.00","2,899.10","2,805.00","2,857.65","2,887.00","2,875.05","2,854.75","4,190.00","1,017.45","28,05,832","8,00,99,40,320.70","1,18,936"
12-Dec-2023,EQ,"2,869.10","2,895.95","2,840.55","2,855.80","2,855.00","2,857.65","2,864.57","4,190.00","1,017.45","20,17,772","5,78,00,40,717.60","91,033"
11-Dec-2023,EQ,"2,837.05","2,919.90","2,811.05","2,822.15","2,862.00","2,855.80","2,867.92","4,190.00","1,017.45","50,64,123","14,52,35,04,974.75","2,02,891"
08-Dec-2023,EQ,"2,902.70","2,927.00","2,760.00","2,887.15","2,829.90","2,822.15","2,839.19","4,190.00","1,017.45","69,59,428","19,75,91,55,358.90","2,89,285"
07-Dec-2023,EQ,"2,900.00","2,945.90","2,853.05","2,883.95","2,892.30","2,887.15","2,898.60","4,190.00","1,017.45","63,25,887","18,33,61,99,561.95","2,65,235"
06-Dec-2023,EQ,"3,080.00","3,154.55","2,844.85","2,959.35","2,893.00","2,883.95","2,987.51","4,190.00","1,017.45","1,93,55,777","57,82,54,83,120.90","7,80,601"
